Ref,Val,Package,PosX,PosY,Rot,Side
"Battery1","LIR2032","BatteryHolder_Keystone_1058_1x2032",186.000000,-79.850000,0.000000,bottom
"32KHz_Crystal1","32KHz crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",187.200000,-72.500000,90.000000,top
"BUCK3.3","AUR9713AGH","SOT95P280X100-5N",211.000000,-87.400000,270.000000,top
"C1(opt)1","4p","C_0402_1005Metric",183.400000,-76.100000,180.000000,top
"C2(opt)1","4p","C_0402_1005Metric",183.400000,-78.500000,180.000000,top
"C3","12p","C_0402_1005Metric",183.400000,-71.300000,180.000000,top
"C4","12p","C_0402_1005Metric",183.400000,-73.900000,180.000000,top
"C101","100n","C_0402_1005Metric",199.200000,-85.250000,90.000000,top
"C102","100n","C_0402_1005Metric",201.700000,-74.850000,270.000000,top
"C103","100n","C_0402_1005Metric",192.500000,-74.100000,0.000000,top
"C104","100n","C_0402_1005Metric",197.400000,-85.250000,90.000000,top
"C105","100n","C_0402_1005Metric",177.400000,-88.400000,270.000000,top
"C201","4.7u","C_0603_1608Metric",214.400000,-87.000000,90.000000,top
"C202","10u","C_0603_1608Metric",206.800000,-83.400000,0.000000,top
"C203","13p","C_0402_1005Metric",204.200000,-86.100000,90.000000,top
"Crystal_48MHz1","CX2016DB48000C0FPLC1","Crystal_SMD_2016-4Pin_2.0x1.6mm",187.200000,-77.100000,225.000000,top
"EMI_VDDS_FILTER_USB1","BLM18HE152SN1D ","L_0603_1608Metric",208.800000,-80.400000,90.000000,top
"FLASH","W25Q64JWZPIM","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",180.200000,-84.000000,180.000000,top
"IC1","TPD6E004RSER","RSE0008A",206.200000,-79.900000,180.000000,top
"L101","2.2u","L_0603_1608Metric",207.500000,-86.400000,90.000000,top
"Led Rojo (PA1)","LED","LED_0603_1608Metric",170.700000,-77.600000,0.000000,top
"Led Verde (PA0)","LED","LED_0603_1608Metric",170.700000,-75.700000,0.000000,top
"R101","450k","R_0402_1005Metric",205.500000,-86.100000,90.000000,top
"R102","100k","R_0402_1005Metric",205.000000,-88.500000,0.000000,top
"RST","SW_DIP_x01","SW_SPST_PTS645",164.200000,-79.750000,270.000000,top
"R_LED_ROJO1","180","R_0402_1005Metric",174.100000,-77.600000,180.000000,top
"R_LED_VERDE1","220","R_0402_1005Metric",174.100000,-75.700000,180.000000,top
"R_RST1","100","R_0402_1005Metric",179.000000,-74.300000,90.000000,top
"STM32","STM32G491CCU6","QFN50P700X700X60-49N-D",196.600000,-79.250000,0.000000,top
"USB_IN1","USB_B_Micro","USB_Micro-B_GCT_USB3076-30-A",213.250000,-77.400000,90.000000,top
